user_id,artista
21gt55n63swkgukdfd5tvfyni,Quevedo
11178273764,Pijama Party
21gt55n63swkgukdfd5tvfyni,Moonkey
11162160084,Hoobastank
11162160084,ATTLAS
11162160084,"\\""Lo' Pibito"
21gt55n63swkgukdfd5tvfyni,Maite Perroni
21gt55n63swkgukdfd5tvfyni,Arcangel
21gt55n63swkgukdfd5tvfyni,Chini Lee
11162160084,Harry Styles
21gt55n63swkgukdfd5tvfyni,Darell
21gt55n63swkgukdfd5tvfyni,Lauv
11178273764,Marama
21gt55n63swkgukdfd5tvfyni,Soge Culebra
11178273764,Cheat Codes
21gt55n63swkgukdfd5tvfyni,EL NOBA
21gt55n63swkgukdfd5tvfyni,Rich Music LTD
21gt55n63swkgukdfd5tvfyni,XXXTENTACION
21gt55n63swkgukdfd5tvfyni,Kina
11162160084,El Cuarteto De Nos
11178273764,Drake
11178273764,Sam Feldt
11162160084,Bon Jovi
11178273764,Coldplay
11162160084,The Verve
11162160084,Jason Mraz
21gt55n63swkgukdfd5tvfyni,Kronno Zomber
11178273764,Maluma
21gt55n63swkgukdfd5tvfyni,Callejero Fino
11162160084,Bee Gees
21gt55n63swkgukdfd5tvfyni,"\\""La K'ong"
21gt55n63swkgukdfd5tvfyni,Chord Overstreet
11162160084,Macaco
11178273764,Daddy Yankee
21gt55n63swkgukdfd5tvfyni,Beéle
11162160084,Air Supply
21gt55n63swkgukdfd5tvfyni,BTS
11162160084,"\\""Guns N' Rose"
11162160084,Divididos
11162160084,Maroon 5
21gt55n63swkgukdfd5tvfyni,Mauri Mansilla
11178273764,VINAI
11162160084,flora cash
11178273764,Justin Bieber
21gt55n63swkgukdfd5tvfyni,18 Kilates
21gt55n63swkgukdfd5tvfyni,El Rodri
21gt55n63swkgukdfd5tvfyni,Mozthaza
21gt55n63swkgukdfd5tvfyni,DJ Luian
21gt55n63swkgukdfd5tvfyni,Kidd Keo
21gt55n63swkgukdfd5tvfyni,Jhayco
11162160084,Jeremy Zucker
21gt55n63swkgukdfd5tvfyni,Catalyna
21gt55n63swkgukdfd5tvfyni,Fraag Malas
11178273764,Justin Mylo
11162160084,Bryan Adams
21gt55n63swkgukdfd5tvfyni,Juhn
21gt55n63swkgukdfd5tvfyni,BANDIDO
11178273764,LOAN
11162160084,Giveon
21gt55n63swkgukdfd5tvfyni,Javiielo
21gt55n63swkgukdfd5tvfyni,Cumbia a Fondo
11178273764,Diplo
11162160084,The 1975
21gt55n63swkgukdfd5tvfyni,TINI
21gt55n63swkgukdfd5tvfyni,Lunay
11162160084,Mancha De Rolando
11162160084,Europe
11178273764,Dimitri Vegas & Like Mike
21gt55n63swkgukdfd5tvfyni,Fátima Pinto
11162160084,Daniel Powter
21gt55n63swkgukdfd5tvfyni,VICE MENTA
11162160084,INXS
11178273764,Sia
11162160084,Lord Huron
21gt55n63swkgukdfd5tvfyni,Fer Palacio
21gt55n63swkgukdfd5tvfyni,Duki
21gt55n63swkgukdfd5tvfyni,Manuel Turizo
11178273764,Calvin Harris
11178273764,Martin Garrix
11178273764,Ozuna
21gt55n63swkgukdfd5tvfyni,Seven Kayne
11162160084,James Blunt
11162160084,Berlin
11162160084,Kodaline
11162160084,Coldplay
11162160084,Conan Gray
11162160084,The Killers
11162160084,Janet Suhh
21gt55n63swkgukdfd5tvfyni,Punto40
11178273764,Avicii
11162160084,Ellie Goulding
11162160084,Groundation
21gt55n63swkgukdfd5tvfyni,Mak Donal
11162160084,El Kuelgue
11162160084,Indios
21gt55n63swkgukdfd5tvfyni,Tobias Medrano
21gt55n63swkgukdfd5tvfyni,Shé
11162160084,Bruno Major
21gt55n63swkgukdfd5tvfyni,J Balvin
11162160084,Tom Rosenthal
11162160084,Spandau Ballet
11162160084,Porter Robinson
21gt55n63swkgukdfd5tvfyni,Bizarrap
11178273764,Desiigner
11178273764,Marsal Ventura
11162160084,Simply Red
21gt55n63swkgukdfd5tvfyni,WOS
11162160084,The Police
11162160084,U2
21gt55n63swkgukdfd5tvfyni,La Roca Callejera
21gt55n63swkgukdfd5tvfyni,Zion & Lennox
11162160084,Natti Natasha
11162160084,Gary Moore
11162160084,Passenger
21gt55n63swkgukdfd5tvfyni,"\\""RAK'"
11162160084,SOJA
